,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24
0,217,217,160,160,2,2,2,7,0,9,0,0,0,0,0,0,0,0,0,0,0
1,351,351,143,143,3,3,3,2,0,0,1,1,115,0,2,0,0,0,0,0,0
2,168,168,23,23,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40,40,15,15,2,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
4,42,42,14,14,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,38,38,11,11,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,48,48,42,42,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0
7,52,52,21,21,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
8,55,55,16,16,2,2,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0
9,306,306,49,49,2,2,2,27,0,0,0,0,0,0,1,0,0,0,0,0,0
10,31,31,19,19,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,136,136,25,25,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,24,6,6,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
13,50,50,15,15,2,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
14,42,42,39,39,0,0,2,1,0,6,0,0,0,0,1,0,0,0,0,0,0
15,126,126,21,21,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16,84,84,53,53,2,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0
17,55,55,23,23,2,2,2,18,0,1,0,0,0,0,0,0,0,0,0,0,0
18,798,798,93,93,6,6,3,3,0,9,0,0,0,0,3,0,0,0,0,0,0
19,350,350,17,17,2,2,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0
20,30,30,9,9,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,289,289,50,50,2,2,2,28,0,0,0,0,0,0,1,0,0,0,0,0,0
23,28,28,7,7,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,55,55,53,53,0,0,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0
25,134,134,27,27,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,51,51,18,18,2,2,2,9,0,4,0,0,0,0,0,0,0,0,0,0,0
28,35,35,32,32,0,0,2,1,0,6,0,0,0,0,1,0,0,0,0,0,0
29,35,35,14,14,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,39,39,10,10,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
